messages;labels
"Курсы валют на 16-18 апреля от ЦБ РФ: 
 
Доллар — 80,04 
Евро — 87,07";0
"ТАСС: экипаж затонувшего российского крейсера «Москва» доставлен в Севастополь. 
 
Сколько человек доставлено и есть ли погибшие или пострадавшие — не уточняется";0
GitHub заблокировал аккаунты российских компаний, среди которых оказались Сбербанк и Альфа-банк, а также некоторые индивидуальные разработчики;0
"В ЮАР число погибших в результате наводнений на юго-востоке республики составило 341 человек, пострадали еще более 40 тысяч. 
 
Наводнения, вызванные проливными дождями, начались там неделю назад, 8 апреля";0
Перенесённый из России чемпионат мира по волейболу пройдёт в Польше и Словении;0
"​​Главное к 15:00:

— Приложение «Альфа-Банка» удалили из App Store из-за санкций:

— РКН заблокировал сайт Moscow Times;

— Ъ: Минфин планирует разрешить майнинг криптовалют только юрлицам и ИП, включённым в особый реестр;

— Президент Польши подписал закон, предусматривающий введение эмбарго на поставки угля из России и возможность заморозки активов субъектов и лиц, которые поддерживают РФ;

— Песков: В Кремле не сомневаются, что все задачи специальной операции будут выполнены, первостепенная задача — уничтожение националистических батальонов;

— В России содержатся более тысячи украинских военных, сдавшихся в плен — СК РФ;

— Армия Китая примет решительные меры для предотвращения внешних вмешательств в дела Тайваня и пресечения попыток сепаратизма — минобороны КНР;

— Правительство Грузии решило опубликовать опросник, который позволяет начать переговоры о вступлении республики в ЕС";0
"​​В школах Тюмени появились «парты героев» — за них посадят отличников. 

Первую такую парту, посвященную Роману Шадрину, поставили в школе Тобольского района. Роман Шадрин — бывший депутат городской думы Екатеринбурга. А в 2014 году он стал заместителем главы Министерства государственной безопасности ЛНР";0
Поездка Байдена в Украину не планируется — Белый дом;0
"Ъ: Минфин планирует разрешить майнинг криптовалют только юрлицам и ИП, включённым в особый реестр.

Такие доработки министерство внесло в свой законопроект о регулировании оборота цифровых валют в России";0
Правительство Грузии решило опубликовать опросник, который позволяет начать переговоры о вступлении республики в ЕС;0
Песков: В Кремле не сомневаются, что все задачи специальной операции будут выполнены, первостепенная задача — уничтожение националистических батальонов;0
РКН заблокировал сайт Moscow Times;0
"​​Выступление Нурлана Сабурова в Чикаго отменили после конфликта с местной украинской диаспорой.

Комик с 8 апреля проводит тур в США, с начала которого зрители пытаются выяснить, как он относится к конфликту России и Украины. На концерте в Лос-Анжелесе несколько человек прервали выступления, выкрикивая свои вопросы и обвиняя Сабурова в молчании. 

В Сиэтле из зала кричали, что «здесь будет то же, что в Лос-Анджелесе», а на концерте в Сан-Франциско на сцену пыталась выбежать активистка в белом платье и с пятном красной краски. Стендапер во время происшествия пошутил про месячные, чем ещё больше разозлил общественность.

Возле объявленных концертных площадок проходят пикеты с символикой Украины, о проведении оставшихся концертов пока информации нет";0
"​​В России — 11 432 заболевших коронавирусом за последние сутки в 85 регионах.

Из них 766 — в Москве, 619 в Санкт-Петербурге и 582 — в Свердловской области.

Выздоровели: 19 523 человека
Умерли: 261 человек

#coronavirus";0
В России содержатся более тысячи украинских военных, сдавшихся в плен — СК РФ;0
Минпромторг: «В настоящее время фиксируются определенные сложности, обусловленные отказом от сотрудничества со стороны ряда крупных международных перевозчиков, в первую очередь, из недружественных государств»;0
Президент Польши подписал закон, предусматривающий введение эмбарго на поставки угля из России и возможность заморозки активов субъектов и лиц, которые поддерживают РФ;0
Армия Китая примет решительные меры для предотвращения внешних вмешательств в дела Тайваня и пресечения попыток сепаратизма — заявление официального представителя Минобороны КНР старшего полковника У Цян;0
Глава СПЧ о блокировке YouTube: «Хочется его заблокировать за фейки, но тогда мы не сможем на этой площадке давать правдивую информацию»;0
Приложение «Альфа-Банка» удалили из App Store из-за санкций;0
"​​Главное за ночь:

• Киевская область оказалась частично обесточена после сообщений о взрывах, это подтвердила компания NetBlocks, отслеживающая работу интернета;

• Армения начала платить рублями за российский газ, сообщил министр экономики страны Ваган Керобян;

• ЕС обсуждает запрет на импорт российской нефти в новом пакете санкций, сообщает The New York Times. Окончательное решение будет принято только после завершения второго тура выборов во Франции;

• Шведский банк SEB заявил о прекращении денежных переводов в РФ и РБ с 31 мая. В дальнейшем эти услуги будут оказываться только в исключительных случаях;

• Новосибирская область выплатит по 3 млн рублей семьям военных, росгвардейцев и полицейских, погибших на территории ДНР, ЛНР и Украины;

• Глава СПЧ Фадеев заявил, что ООН, ОБСЕ и другие подобные организации мало реагируют на факты русофобии, что поставило россиян в положение «травимого народа»;

• Количество кибератак на РФ с начала военной операции выросло как минимум в 4 раза";0
В Киеве сообщают о взрывах;0
